NOMBRE,CARGO
Dina Ercilia Boluarte Zegarra,Ministra de Desarrollo e Inclusión Social
María Abigunda Tarazona Alvino,Viceministra de Políticas y Evaluación Social
William Ciro Contreras Chávez,Viceministro de Prestaciones Sociales
Enrique Ernesto Vilchez Vilchez,Secretario General
Iván Armando Castillo Cuadra,Jefe de Gabinete de Asesores
José Enrique Pérez Lu,Director General de Implementación de Políticas y Articulación Territorial
Cesar Augusto Calmet Delgado,Director General (e) de Políticas y Estrategias
Rosmery Arletty Rivera Sivirichi,Directora General de Calidad de la Gestión de las Prestaciones Sociales
Javier David Loza Herrera,Director General de Focalización e Información Social
"Demartini Montes, Julio Javier",Director General de Diseño y Articulación de las Prestaciones Sociales
José Enrique Velásquez Hurtado ,Director General de Seguimiento y Evaluación 
Jorge Alberto Zapata Gallo,"Jefe de la Oficina General de Planeamiento, Presupuesto y Modernización"
Claudia Consuelo Velazco Villar,Jefa de la Oficina General de Asesoría Jurídica
Luis Alberto Tello Verastegui,Jefe de la Oficina General  de Recursos Humanos
Ninoska Rosario Chandia Roque,Jefa de la Oficina General de Comunicación Estratégica
Albina Espinoza Ponte,Jefa de la Oficina General de Administración
Carlos Jesus Vilela del Carpio,Jefe de la Oficina General de Cooperación y Asuntos Internacionales 
Melvin Angel Gago Rodrigo,Jefe de la Oficina General de Tecnologías de la Información
Lady Jackelyn Chávez Valderrama,Directora de la Dirección de Calidad de Información
Sandro Luis Martínez Lázaro,Director de la Dirección de Operaciones
